theme,branch,path,status,note
lawrennd,main,_layouts/publication.html,IDENTICAL,
lawrennd,main,_layouts/article.html,IDENTICAL,layout=publication; body=paper_authors_abstract_links.html
lawrennd,main,_layouts/inproceedings.html,IDENTICAL,
lawrennd,main,_layouts/techreport.html,IDENTICAL,
lawrennd,main,_includes/paper_authors_abstract_links.html,IDENTICAL,
lawrennd,main,_includes/paper_abstract.html,IDENTICAL,
lawrennd,main,_includes/cite-as.html,IDENTICAL,
lawrennd,main,_includes/listpaper.html,IDENTICAL,
lawrennd,main,_includes/listauthors.html,IDENTICAL,
lawrennd,main,_includes/seo-info.html,IDENTICAL,
lawrennd,main,_includes/extractinfo_publication.html,IDENTICAL,
lawrennd,main,_includes/extractname.html,IDENTICAL,
lawrennd,main,_includes/copy_sections.html,IDENTICAL,
lawrennd,main,_includes/bibtex_copy_section.html,IDENTICAL,
lawrennd,main,_includes/apa_copy_section.html,IDENTICAL,
lawrennd,main,_includes/ris_copy_section.html,IDENTICAL,
lawrennd,main,_includes/endnote_copy_section.html,IDENTICAL,
lawrennd,main,_includes/bibtex_entry,IDENTICAL,
lawrennd,main,_includes/apa_entry,IDENTICAL,
lawrennd,main,_includes/ris_entry,IDENTICAL,
lawrennd,main,_includes/endnote_entry,IDENTICAL,
lawrennd,main,_includes/copy_buttons.html,IDENTICAL,
lawrennd,main,_includes/hidden_copy_code.html,IDENTICAL,
lawrennd,main,_includes/paper_google_scholar.html,IDENTICAL,
lawrennd,main,_includes/paper_open_graph_meta.html,IDENTICAL,
lawrennd,main,_includes/paper_twitter_meta.html,IDENTICAL,
lawrennd,main,assets/bib/citeproc.yaml,IDENTICAL,
mlatcl,main,_layouts/publication.html,IDENTICAL,
mlatcl,main,_layouts/article.html,IDENTICAL,layout=publication; body=paper_authors_abstract_links.html
mlatcl,main,_layouts/inproceedings.html,IDENTICAL,
mlatcl,main,_layouts/techreport.html,IDENTICAL,
mlatcl,main,_includes/paper_authors_abstract_links.html,IDENTICAL,
mlatcl,main,_includes/paper_abstract.html,IDENTICAL,
mlatcl,main,_includes/cite-as.html,IDENTICAL,
mlatcl,main,_includes/listpaper.html,IDENTICAL,
mlatcl,main,_includes/listauthors.html,IDENTICAL,
mlatcl,main,_includes/seo-info.html,IDENTICAL,
mlatcl,main,_includes/extractinfo_publication.html,IDENTICAL,
mlatcl,main,_includes/extractname.html,IDENTICAL,
mlatcl,main,_includes/copy_sections.html,IDENTICAL,
